"","age","len","n","sd","se","weight","reg","year","sex"
"1",5,65.75,4,17.3661548229115,4.34153870572788,2.4365401314874,"Full","2014","F"
"2",6,70.6603773584906,53,10.0401949801524,0.189437641134951,3.07695681931284,"Full","2014","F"
"3",7,71.7563025210084,119,10.4767429168131,0.0880398564438076,3.23428200713391,"Full","2014","F"
"4",8,74.7956730769231,416,9.87629902531521,0.0237411034262385,3.69956867651409,"Full","2014","F"
"5",9,76.7292707292707,1001,9.99177823851352,0.00998179644207145,4.01851120904387,"Full","2014","F"
"6",10,80.8443960826986,919,11.9146725165353,0.0129648231953594,4.75967238055475,"Full","2014","F"
"7",11,88.3783359497645,637,14.4436565822363,0.0226745001290993,6.3526038405109,"Full","2014","F"
"8",12,93.8353474320242,662,16.2436559416629,0.0245372446248684,7.71362757452043,"Full","2014","F"
"9",13,99.511583011583,518,17.8441257828838,0.0344481192719764,9.3304350272674,"Full","2014","F"
"10",14,103.463519313305,466,18.9642493212619,0.0406958139941242,10.5852713505925,"Full","2014","F"
"11",15,103.818181818182,308,19.2029973723921,0.0623473940662082,10.7032875327463,"Full","2014","F"
"12",16,111.602836879433,141,21.2165297528077,0.150471842218494,13.5287937123585,"Full","2014","F"
"13",17,116.934065934066,91,18.9148984182676,0.207856026574369,15.7369411423677,"Full","2014","F"
"14",18,121.018518518519,54,20.2954504993446,0.37584167591379,17.5885991654353,"Full","2014","F"
"15",19,121.34,50,19.833603725362,0.39667207450724,17.7404342088435,"Full","2014","F"
"16",20,129.95,20,20.8136468389574,1.04068234194787,22.1526902659751,"Full","2014","F"
"17",5,60,1,NA,NA,1.81134579382638,"2B","2014","F"
"21",6,71,19,7.73160900316213,0.406926789640112,3.12513199754091,"2B","2014","F"
"310",7,77.030303030303,33,12.6354779502124,0.382893271218557,4.06981736267579,"2B","2014","F"
"45",8,77.3888888888889,126,11.4577290749762,0.0909343577379066,4.13152149294288,"2B","2014","F"
"51",9,79.0962732919255,322,9.66156523376002,0.03000486097441,4.434215809778,"2B","2014","F"
"610",10,85.9055118110236,254,12.3588844494893,0.0486570253916901,5.79454649164602,"2B","2014","F"
"73",11,93.7328767123288,146,14.8947068107364,0.102018539799565,7.68636883690215,"2B","2014","F"
"81",12,96.8299319727891,147,17.3052269202823,0.117722632110764,8.54009115641081,"2B","2014","F"
"910",13,105.227272727273,110,17.7032931632513,0.16093902875683,11.1811649587055,"2B","2014","F"
"101",14,109.686868686869,99,20.0492487846682,0.202517664491598,12.7906420292397,"2B","2014","F"
"111",15,111.5,56,19.4926559597105,0.348083142137687,13.4884450189836,"2B","2014","F"
"121",16,114.783783783784,37,14.959454712164,0.404309586815243,14.8185003700588,"2B","2014","F"
"131",17,116.363636363636,22,14.779475648104,0.671794347641093,15.4895684236372,"2B","2014","F"
"141",18,122.777777777778,18,20.6669829197814,1.14816571776563,18.4305954248353,"2B","2014","F"
"151",19,117.5,12,14.8232004886689,1.23526670738907,15.9850501641512,"2B","2014","F"
"161",20,129.4,5,25.8321505105556,5.16643010211113,21.8503486468523,"2B","2014","F"
"29",5,77,2,18.3847763108502,9.19238815542512,4.06463231177754,"2C","2014","F"
"30",6,70.8235294117647,17,9.90729083880684,0.582781814047461,3.10003522077911,"2C","2014","F"
"31",7,73.6,30,8.98888202169769,0.299629400723256,3.51136061960093,"2C","2014","F"
"32",8,76.6495726495726,117,9.81230423860622,0.0838658481932156,4.00500318969123,"2C","2014","F"
"33",9,78.1810344827586,232,10.1436429139587,0.0437225987670635,4.27011816039382,"2C","2014","F"
"34",10,83.1865284974093,193,11.8262783342888,0.0612760535455379,5.22111234956779,"2C","2014","F"
"35",11,94.9851851851852,135,14.9131741744669,0.110467956847903,8.024100264221,"2C","2014","F"
"36",12,102.059880239521,167,14.7111549343905,0.088090748110123,10.1270205647504,"2C","2014","F"
"37",13,108.794520547945,146,18.1000734645944,0.123973105921879,12.4565584140319,"2C","2014","F"
"38",14,112.361111111111,144,18.9436452105104,0.131553091739656,13.8288872992429,"2C","2014","F"
"39",15,114.032258064516,93,20.442630017188,0.219813225991269,14.5064498991624,"2C","2014","F"
"40",16,118.529411764706,51,21.6881100524471,0.425257059851905,16.4432618965714,"2C","2014","F"
"41",17,127.354838709677,31,17.4156029412263,0.561793643265366,20.7511119907524,"2C","2014","F"
"42",18,136.733333333333,15,17.2935440747889,1.15290293831926,26.1230797313925,"2C","2014","F"
"43",19,133.047619047619,21,16.5332277262372,0.787296558392248,23.9097118673041,"2C","2014","F"
"44",20,142.222222222222,9,15.2870678825092,1.69856309805658,29.6760358307997,"2C","2014","F"
"57",5,NA,0,NA,NA,NA,"3A","2014","F"
"58",6,73.3636363636364,11,14.5552239919056,1.32320218108233,3.47495566695108,"3A","2014","F"
"59",7,69.2,30,9.11383941955953,0.303794647318651,2.87564361360269,"3A","2014","F"
"60",8,74.0114942528736,87,7.58439992088038,0.0871770105848319,3.57536705884583,"3A","2014","F"
"61",9,76.8022598870056,177,9.43520941379019,0.0533062678745208,4.03090973659577,"3A","2014","F"
"62",10,79.5388601036269,193,9.92470574427955,0.0514233458252826,4.5151112003469,"3A","2014","F"
"63",11,85.780487804878,164,11.9097056777713,0.0726201565717764,5.7672674701815,"3A","2014","F"
"64",12,91.4244186046512,172,14.542942550343,0.0845519915717614,7.08978176435527,"3A","2014","F"
"65",13,92.7638888888889,144,13.9999930624913,0.0972221740450788,7.43188710939461,"3A","2014","F"
"66",14,95.5072463768116,138,13.3647572154494,0.0968460667786188,8.16787353768823,"3A","2014","F"
"67",15,96.283185840708,113,13.3533496510297,0.11817123584982,8.38483999996756,"3A","2014","F"
"68",16,104.394736842105,38,21.682649027455,0.570596027038289,10.8970763103643,"3A","2014","F"
"69",17,107.677419354839,31,19.0199668712894,0.61354731842869,12.0468955379948,"3A","2014","F"
"70",18,107.944444444444,18,13.4840743634077,0.749115242411538,12.1439584632386,"3A","2014","F"
