 select hdr.[year], pos.RegArea, hal.frklen, hal.bbage, hal.srfage
from stlHeader hdr, stlHalibut hal, stlStationPositions pos
where hdr.[year] between 1998 and 2011 and hdr.stlkey = hal.stlkey and STR(hdr.stnno,4,0) = pos.Station and
      hdr.[year] = pos.[Year] and hdr.prpcde IN ('SG','ES','BG','DE','SE') and
      (hal.srfage IS NOT NULL or hal.bbage IS NOT NULL)

	
year,area,length,bbage,srfage
1998,4A,71,NULL,12
1998,4A,70,NULL,10
1998,4A,72,NULL,10
1998,4A,142,NULL,19
1998,4A,102,21,20
1998,4A,126,NULL,18
1998,4A,100,NULL,18
1998,4A,157,21,21
1998,4A,114,19,19
1998,4A,82,NULL,14
1998,4A,96,NULL,20
1998,4A,81,NULL,13
1998,4A,72,NULL,10
1998,4A,76,NULL,11
1998,4A,74,NULL,10
1998,4A,76,NULL,10
1998,4A,72,NULL,10
1998,4A,81,NULL,12
1998,4A,87,NULL,12
1998,4A,101,20,19
1998,4A,100,19,18
1998,4A,86,NULL,11
1998,4A,91,NULL,10
1998,4A,117,19,18
1998,4A,82,NULL,12
1998,4A,55,NULL,6
1998,4A,104,13,14
1998,4A,65,NULL,9
1998,4A,100,NULL,10
1998,4A,104,NULL,11
1998,4A,86,NULL,9
1998,4A,84,NULL,15
1998,4A,109,NULL,11
1998,4A,106,NULL,16
1998,4A,61,NULL,8
1998,4A,102,19,17
1998,4A,103,NULL,10
1998,4A,80,NULL,11
1998,4A,67,NULL,10
1998,4A,97,NULL,9
1998,4A,133,NULL,14
1998,4A,90,NULL,11
1998,4A,80,NULL,11
1998,4A,80,NULL,11
1998,4A,73,NULL,9
1998,4A,96,NULL,10
1998,4A,86,NULL,11
1998,4A,94,NULL,11
1998,4A,95,17,16
1998,4A,125,NULL,18
1998,4A,85,NULL,11
1998,4A,118,NULL,12
1998,4A,65,NULL,7
1998,4A,83,NULL,11
1998,4A,79,NULL,11
1998,4A,86,NULL,11
1998,4A,82,NULL,11
1998,4A,92,NULL,11
1998,4A,79,NULL,11
1998,4A,87,NULL,10
1998,4A,85,NULL,11
1998,4A,90,18,17
1998,4A,95,NULL,12
1998,4A,107,NULL,13
1998,4A,112,NULL,15
1998,4A,81,NULL,10
1998,4A,82,NULL,9
1998,4A,119,NULL,16
1998,4A,93,NULL,10
1998,4A,78,NULL,12
1998,4A,102,NULL,19
1998,4A,108,NULL,11
1998,4A,128,17,18
1998,4A,123,16,18
1998,4A,96,NULL,13
1998,4A,116,NULL,11
1998,4A,142,NULL,18
1998,4A,132,NULL,14
1998,4A,86,NULL,13
1998,4A,131,NULL,14
1998,4A,109,NULL,11
1998,4A,123,NULL,16
1998,4A,111,22,18
1998,4A,83,NULL,11
1998,4A,79,NULL,8
1998,4A,66,NULL,10
1998,4A,89,NULL,11
1998,4A,121,NULL,18
1998,4A,65,NULL,8
1998,4A,85,NULL,11
1998,4A,119,NULL,17
1998,4A,78,NULL,10
1998,4A,78,NULL,12
1998,4A,96,NULL,11
1998,4A,97,NULL,12
1998,4A,115,NULL,13
1998,4A,95,NULL,11
1998,4A,94,20,19
1998,4A,98,NULL,10
1998,4A,93,NULL,11
1998,4A,97,NULL,12
1998,4A,119,16,18
1998,4A,102,NULL,20
1998,4A,91,NULL,10
1998,4A,108,NULL,14
1998,4A,102,NULL,11
1998,4A,105,NULL,10
1998,4A,105,NULL,15
1998,4A,82,NULL,10
1998,4A,87,NULL,10
1998,4A,93,NULL,11
1998,4A,98,NULL,11
1998,4A,117,NULL,15
1998,4A,84,NULL,11
1998,4A,86,NULL,11
1998,4A,97,NULL,12
1998,4A,92,NULL,11
1998,4A,92,NULL,11
1998,4A,113,NULL,18
1998,4A,129,NULL,14
1998,4A,113,NULL,12
1998,4A,85,NULL,12
1998,4A,95,NULL,19
1998,4A,113,20,17
1998,4A,105,NULL,16
1998,4A,126,18,19
1998,4A,112,NULL,11
1998,4A,106,NULL,10
1998,4A,132,NULL,18
1998,4A,105,NULL,16
1998,4A,104,NULL,10
1998,4A,94,NULL,19
1998,4A,110,NULL,10
1998,4A,112,NULL,18
1998,4A,135,NULL,18
1998,4A,126,NULL,11
1998,4A,123,NULL,18
1998,4A,113,NULL,11
1998,4A,136,NULL,11
1998,4A,105,NULL,11
1998,4A,160,28,23
1998,4A,117,22,17
1998,4A,118,NULL,11
1998,4A,117,NULL,12
1998,4A,131,NULL,17
1998,4A,101,NULL,11
1998,4A,104,NULL,11
1998,4A,112,22,22
1998,4A,139,NULL,17
1998,4A,116,NULL,15
1998,4A,130,NULL,17
1998,4A,114,22,19
1998,4A,106,NULL,20
1998,4A,116,NULL,10
1998,4A,120,NULL,16
1998,4A,71,NULL,8
1998,4A,113,NULL,12
1998,4A,91,NULL,10
1998,4A,88,NULL,12
1998,4A,116,NULL,11
1998,4A,75,NULL,11
1998,4A,97,NULL,10
1998,4A,87,NULL,11
1998,4A,94,NULL,11
1998,4A,122,NULL,11
1998,4A,102,NULL,13
1998,4A,125,NULL,12
1998,4A,98,NULL,12
1998,4A,91,NULL,10
1998,4A,71,NULL,11
1998,4A,81,NULL,9
1998,4A,133,NULL,16
1998,4A,75,NULL,10
1998,4A,92,NULL,11
1998,4A,94,NULL,10
1998,4A,68,NULL,8
1998,4A,92,NULL,10
1998,4A,67,NULL,10
1998,4A,55,NULL,6
1998,4B,114,18,14
1998,4B,95,NULL,12
1998,4B,116,26,19
1998,4B,100,17,12
1998,4B,94,NULL,12
1998,4B,71,NULL,9
1998,4B,91,NULL,10
1998,4B,82,NULL,9
1998,4B,72,NULL,11
1998,4B,78,NULL,10
1998,4B,72,NULL,11
1998,4B,88,NULL,10
1998,4B,61,NULL,4
1998,4B,72,NULL,11
1998,4B,105,19,16
1998,4B,96,NULL,11
1998,4B,99,NULL,10
1998,4B,105,NULL,12
1998,4B,108,NULL,16
1998,4B,91,NULL,13
1998,4B,91,NULL,11
1998,4B,83,NULL,11
1998,4B,122,NULL,15
1998,4B,82,NULL,10
1998,4B,134,NULL,14
1998,4B,88,NULL,13
1998,4B,116,21,19
1998,4B,117,38,21
1998,4B,123,34,19
1998,4B,103,NULL,12
1998,4B,73,NULL,12
1998,4B,71,NULL,9
1998,4B,80,NULL,15
1998,4B,89,NULL,11
1998,4B,97,NULL,11
1998,4B,97,NULL,10
1998,4B,91,NULL,11
1998,4B,140,NULL,16
1998,4B,95,NULL,11
1998,4B,70,NULL,7
1998,4B,103,NULL,11
1998,4B,110,NULL,11
1998,4B,98,NULL,11
1998,4B,108,NULL,12
1998,4B,105,NULL,13
1998,4B,107,NULL,12
1998,4B,122,18,17
1998,4B,111,19,16
1998,4B,80,NULL,8
