14320
9
2
#area	 age	 fl	 sex
6	22	82	2
6	10	68	1
6	11	75	2
6	12	69	2
6	12	74	2
6	9	72	1
6	12	76	2
6	12	69	2
6	10	64	2
6	11	76	2
6	10	74	2
6	15	83	2
6	15	79	2
6	10	68	2
6	13	72	2
6	10	69	2
6	13	73	2
6	11	70	2
6	13	77	2
6	17	81	2
6	25	79	2
6	11	85	1
6	10	78	2
6	9	68	2
6	11	88	1
6	15	118	1
6	26	94	2
6	18	92	2
6	15	104	1
6	22	90	2
6	16	107	1
6	22	98	2
6	12	83	2
6	13	119	1
6	22	92	2
6	24	102	2
6	26	95	2
6	14	101	1
6	20	130	1
6	24	96	2
6	35	102	2
6	13	89	1
6	13	96	1
6	25	97	2
6	10	73	1
6	13	73	2
6	13	83	1
6	9	61	2
6	10	67	1
6	13	71	2
6	13	71	2
6	13	83	2
6	13	77	2
6	11	74	2
6	10	66	1
6	13	72	2
6	10	70	2
6	10	75	1
6	12	72	2
6	10	78	2
6	12	74	2
6	11	78	2
6	8	66	2
6	13	79	2
6	10	70	2
6	14	85	2
6	10	73	2
6	13	75	2
6	10	67	2
6	10	72	2
6	24	90	2
6	13	85	2
6	23	90	2
6	25	90	2
6	15	101	1
6	11	80	1
6	18	92	2
6	12	95	1
6	13	87	2
6	12	76	2
6	23	95	2
6	14	100	2
6	24	88	2
6	21	118	1
6	12	80	2
6	32	105	2
6	16	113	1
6	15	76	2
6	9	69	2
6	13	76	2
6	12	80	2
6	12	73	2
6	14	70	2
6	12	84	2
6	14	72	2
6	10	70	1
6	13	75	2
6	15	125	1
6	23	87	2
6	16	127	1
6	12	82	2
6	12	82	2
6	14	80	2
6	15	94	1
6	10	70	2
6	12	76	2
6	15	101	1
6	9	64	2
6	17	85	2
6	14	86	2
6	12	86	1
6	13	89	2
6	12	80	2
6	10	105	1
6	14	76	2
6	22	82	2
6	9	72	2
6	12	94	1
6	23	95	2
6	14	86	2
6	15	87	1
6	11	73	2
6	12	86	1
6	12	79	2
6	12	96	1
6	13	81	2
6	14	83	1
6	16	82	2
6	21	110	2
6	9	69	2
6	11	87	1
6	10	93	1
6	32	117	1
6	20	99	2
6	29	98	2
6	17	138	1
6	21	94	2
6	10	78	2
6	10	91	1
6	12	105	1
6	16	92	2
6	11	75	2
6	13	75	2
6	24	86	2
6	9	95	1
6	15	88	2
6	10	89	1
6	12	90	1
6	12	96	1
6	12	88	1
6	10	83	1
6	13	94	1
6	20	102	2
6	12	77	2
6	10	78	2
6	17	89	2
6	24	144	1
6	10	86	1
6	20	94	2
6	13	91	1
6	23	121	1
6	16	106	1
6	24	90	2
6	9	87	1
6	11	80	2
6	22	91	2
6	22	114	1
6	13	92	2
6	14	81	2
6	20	97	2
6	17	90	2
6	10	87	1
6	10	99	1
6	10	83	2
6	11	88	1
6	22	101	2
6	16	82	2
6	19	95	2
6	12	86	1
6	11	79	2
6	23	86	2
6	24	99	2
6	22	93	2
6	12	95	2
6	16	96	2
6	8	73	2
6	21	96	2
6	22	90	2
6	7	67	2
6	11	103	1
6	11	101	1
6	9	86	1
6	15	85	2
6	13	110	1
6	10	83	1
6	10	81	1
6	13	84	1
6	13	126	1
6	12	81	1
6	10	87	1
6	9	68	1
6	10	91	1
6	17	98	2
6	13	76	2
6	10	68	2
6	12	81	1
6	8	68	2
6	10	85	1
6	9	79	2
6	22	91	2
6	12	89	1
6	11	84	2
6	16	86	1
6	9	80	2
6	13	104	1
6	24	111	2
6	11	75	1
6	12	85	2
6	15	81	2
6	13	82	2
6	12	85	2
6	12	99	1
6	17	82	2
6	10	79	1
6	9	73	2
6	26	81	2
6	12	88	1
6	28	132	1
6	10	108	1
6	11	87	1
6	34	101	2
6	11	88	1
6	12	83	2
6	15	79	1
6	35	96	2
6	10	86	1
6	23	97	2
6	10	79	2
6	11	84	1
6	13	109	1
6	7	81	1
6	10	80	1
6	21	88	1
6	10	111	1
6	13	98	1
6	10	72	1
6	10	78	1
6	9	65	2
6	10	79	2
6	12	64	2
6	11	106	1
6	11	79	2
6	10	78	1
6	10	94	1
6	10	82	1
6	11	92	1
6	12	103	1
6	8	69	1
6	11	76	2
6	9	73	2
6	15	108	1
6	11	81	1
6	10	94	1
6	10	88	1
6	9	76	1
6	11	78	2
6	6	54	2
6	11	80	1
6	9	91	1
6	22	88	2
6	10	77	1
6	9	83	1
6	9	70	1
6	11	80	2
6	9	92	1
6	9	68	2
6	12	92	1
6	13	103	1
6	17	113	1
6	16	98	1
6	11	78	1
6	9	93	1
6	12	84	1
6	18	77	2
6	10	72	2
6	12	99	1
6	12	92	1
6	11	85	2
6	12	110	1
6	9	78	1
6	13	93	1
6	15	99	1
6	11	89	1
6	11	76	2
6	12	101	1
6	10	81	1
6	13	93	1
6	12	101	1
6	32	109	2
6	16	109	1
6	31	102	2
6	24	116	1
6	13	113	1
6	14	99	1
6	12	112	1
6	10	97	1
6	10	82	1
6	12	100	1
6	17	101	2
6	10	87	1
6	9	95	1
6	12	89	1
6	13	107	1
6	12	93	1
6	12	96	1
6	13	99	1
6	11	85	1
6	13	127	1
6	13	101	1
6	10	89	1
6	11	91	1
6	10	72	2
6	6	57	2
6	9	73	1
6	15	77	2
6	30	102	2
6	10	95	1
6	13	84	2
6	10	93	1
6	11	76	1
6	12	79	2
6	8	58	2
6	9	68	1
6	12	76	2
6	9	81	1
6	11	84	1
6	11	121	1
6	22	95	2
6	10	72	2
6	23	121	1
6	15	99	1
6	9	74	1
6	29	107	2
6	10	59	1
6	9	72	1
6	9	66	1
8	10	81	1
8	9	81	1
8	13	101	1
8	11	99	1
8	33	110	2
8	9	66	2
8	8	62	1
8	10	76	2
8	11	76	1
8	22	91	2
8	10	82	1
8	9	79	1
8	13	87	1
8	16	111	1
8	23	134	1
8	17	94	2
8	11	88	1
8	8	64	1
8	9	88	1
8	8	54	2
8	21	89	2
8	9	80	1
8	9	80	1
8	12	78	2
8	12	87	1
8	24	100	2
8	9	84	1
8	9	73	1
8	9	86	1
8	12	87	1
8	12	97	1
8	15	83	2
8	10	69	2
8	9	68	2
8	14	119	1
8	8	68	1
8	7	62	1
8	7	58	2
8	9	76	2
8	12	76	2
8	11	89	1
8	12	100	1
8	8	73	2
8	10	76	2
8	9	77	2
8	10	81	1
8	10	73	1
8	11	70	2
8	8	54	2
8	8	54	2
8	11	112	1
8	10	117	1
8	25	118	2
8	11	74	1
8	10	74	1
8	9	76	1
8	15	115	1
8	9	74	1
8	12	90	1
8	11	100	1
8	10	100	1
8	10	90	1
8	12	88	1
8	13	121	1
8	9	69	1
8	10	81	1
8	8	77	1
8	10	86	1
8	9	62	1
8	12	88	1
8	11	92	1
8	13	103	1
8	13	98	1
8	13	97	1
8	9	69	1
8	8	77	1
8	11	89	1
8	10	84	1
8	14	96	1
8	14	123	1
8	9	77	1
8	9	66	1
8	8	65	1
8	11	78	1
8	10	76	1
8	14	85	2
8	14	102	1
8	12	101	1
8	14	88	2
8	9	87	1
8	8	64	2
8	9	72	1
8	10	58	2
8	13	82	1
8	12	80	1
8	14	103	1
8	9	79	1
8	9	70	2
8	11	85	1
8	10	84	1
8	8	61	2
8	9	94	1
8	12	114	1
8	10	87	1
8	9	75	1
8	13	94	1
8	15	121	1
8	13	110	1
8	10	97	1
8	12	82	1
8	11	84	1
8	9	88	1
8	13	96	1
8	12	102	1
8	11	100	1
8	10	108	1
8	10	108	1
8	13	113	1
8	13	111	1
8	9	78	1
8	13	103	1
8	9	84	1
8	23	91	2
8	11	78	2
8	11	88	1
8	7	57	1
8	9	64	1
8	14	130	1
8	10	78	2
8	11	85	1
8	21	93	2
8	12	90	1
8	8	71	1
8	9	71	1
8	9	77	1
8	10	75	1
8	21	94	2
8	10	72	1
8	14	127	1
8	7	65	2
8	9	59	1
8	10	72	2
8	11	96	1
8	7	67	2
8	14	89	1
8	11	105	1
8	8	63	2
8	8	75	2
8	9	72	2
8	14	78	2
8	12	114	1
8	9	75	1
8	11	74	2
8	11	90	1
8	9	84	1
8	8	59	2
8	10	83	1
8	10	85	2
8	13	99	1
8	10	95	1
8	9	71	1
8	9	97	1
8	11	76	1
8	10	92	1
8	10	86	1
8	10	83	1
8	13	127	1
8	19	94	2
8	12	121	1
8	10	77	1
8	8	73	1
8	11	83	1
8	7	70	1
8	8	69	1
8	8	72	1
8	11	105	1
8	9	91	1
8	7	62	1
8	10	71	1
8	10	93	1
8	12	114	1
8	12	87	2
8	11	74	2
8	10	101	1
8	8	65	1
8	10	78	1
8	10	82	1
8	12	114	1
8	10	89	1
8	10	108	1
8	12	118	1
8	9	67	1
8	4	68	2
8	10	94	1
8	9	76	1
8	15	125	1
8	9	93	1
8	9	70	1
8	9	65	1
8	10	103	1
