13967
9
2
#area	 age	 fl	 sex
6	10	65	2
6	9	68	2
6	12	80	2
6	9	63	2
6	10	74	2
6	20	104	2
6	22	89	2
6	24	93	2
6	12	82	2
6	21	91	2
6	21	92	2
6	33	118	2
6	33	101	2
6	21	102	2
6	12	91	1
6	21	90	2
6	15	80	2
6	8	89	1
6	10	76	2
6	10	76	2
6	14	84	2
6	10	74	1
6	10	82	2
6	9	72	2
6	12	74	2
6	10	68	2
6	17	80	2
6	10	78	1
6	12	73	2
6	12	79	2
6	12	82	2
6	11	66	2
6	16	85	2
6	11	79	1
6	8	75	2
6	10	77	1
6	12	70	2
6	9	76	2
6	11	75	2
6	12	68	2
6	9	65	2
6	8	69	1
6	7	72	2
6	9	90	1
6	21	89	2
6	8	79	2
6	21	101	2
6	10	74	2
6	8	82	1
6	12	80	1
6	11	76	2
6	17	84	2
6	16	86	2
6	9	83	1
6	10	85	1
6	13	97	1
6	16	81	2
6	11	73	2
6	9	74	2
6	9	88	1
6	9	74	2
6	24	94	2
6	24	95	2
6	27	93	2
6	16	82	2
6	9	73	1
6	11	91	1
6	22	82	2
6	32	102	2
6	12	124	1
6	22	89	2
6	23	103	2
6	18	91	2
6	9	80	2
6	11	90	1
6	16	89	2
6	15	112	1
6	11	93	1
6	18	89	2
6	29	116	1
6	14	82	2
6	12	111	1
6	11	87	1
6	29	105	2
6	12	83	1
6	14	89	1
6	29	87	1
6	10	98	1
6	27	101	2
6	16	84	2
6	10	89	1
6	20	98	1
6	30	103	2
6	12	93	1
6	11	68	2
6	9	70	2
6	11	92	1
6	8	63	2
6	12	82	2
6	9	73	1
6	17	90	2
6	8	64	2
6	9	63	2
6	14	78	2
6	11	75	2
6	8	62	2
6	22	87	2
6	8	94	1
6	8	77	1
6	12	111	1
6	11	109	1
6	16	98	1
6	21	100	2
6	32	90	2
6	17	99	1
6	30	101	2
6	9	68	2
6	11	88	2
6	12	110	1
6	22	99	2
6	12	117	1
6	14	99	1
6	16	104	1
6	9	82	1
6	17	97	1
6	10	82	2
6	12	84	1
6	13	86	2
6	10	82	1
6	12	92	1
6	14	87	1
6	15	96	2
6	15	93	2
6	18	84	2
6	14	80	2
6	19	91	2
6	8	79	1
6	21	104	2
6	11	99	1
6	24	92	2
6	9	83	1
6	10	77	2
6	20	127	1
6	11	84	1
6	24	95	2
6	25	103	2
6	11	82	2
6	12	93	1
6	11	91	2
6	22	92	2
6	11	97	1
6	12	87	2
6	17	82	2
6	12	89	1
6	10	77	2
6	12	100	1
6	12	107	1
6	24	93	2
6	12	88	1
6	13	88	1
6	11	92	1
6	9	84	1
6	14	106	1
6	22	93	2
6	10	90	1
6	12	80	2
6	12	82	1
6	11	77	1
6	13	78	2
6	10	82	1
6	29	104	2
6	9	107	1
6	12	77	1
6	10	88	1
6	17	84	2
6	18	99	2
6	9	80	2
6	10	77	2
6	13	84	1
6	11	94	1
6	11	81	2
6	13	78	2
6	26	91	2
6	10	96	1
6	10	80	2
6	10	70	2
6	25	96	2
6	13	73	2
6	9	72	1
6	15	105	1
6	13	84	2
6	10	84	2
6	16	104	1
6	10	82	1
6	12	93	1
6	23	137	1
6	12	85	1
6	9	83	1
6	22	104	1
6	13	88	1
6	15	104	1
6	9	102	1
6	12	91	1
6	15	93	1
6	13	83	2
6	11	84	1
6	10	60	2
6	11	91	1
6	8	75	1
6	9	61	2
6	9	68	2
6	12	75	1
6	12	95	1
6	22	90	2
6	12	104	1
6	12	93	1
6	10	78	2
6	11	86	1
6	21	125	1
6	11	89	1
6	15	78	2
6	9	69	2
6	9	70	1
6	10	72	1
6	8	67	2
6	10	85	1
6	10	80	1
6	11	89	1
6	11	90	1
6	13	85	1
6	11	95	1
6	15	79	2
6	7	71	1
6	10	82	2
6	8	77	1
6	9	74	2
6	12	72	2
6	29	113	2
6	23	93	2
6	9	81	1
6	7	64	2
6	21	97	2
6	9	70	2
6	8	73	1
6	11	95	1
6	18	96	1
6	37	111	2
6	15	95	1
6	17	118	1
6	12	94	1
6	14	92	2
6	25	104	2
6	32	106	2
6	25	124	1
6	29	115	2
6	16	113	1
6	13	104	1
6	24	91	2
6	10	91	1
6	10	85	1
8	25	101	2
8	11	78	2
8	23	87	2
8	10	70	2
8	9	65	2
8	11	88	1
8	7	60	2
8	9	69	1
8	11	78	1
8	37	169	1
8	9	66	2
8	7	71	1
8	7	63	1
8	12	91	2
8	21	90	2
8	8	65	1
8	10	86	1
8	12	85	1
8	10	89	1
8	12	110	1
8	14	99	1
8	8	63	1
8	10	98	1
8	9	64	1
8	11	99	1
8	24	109	2
8	10	86	1
8	23	94	2
8	18	98	1
8	8	65	1
8	15	80	2
8	9	73	2
8	14	107	1
8	12	83	1
8	8	72	1
8	17	87	2
8	11	91	1
8	11	88	1
8	22	87	2
8	17	88	2
8	10	68	1
8	9	77	1
8	15	96	2
8	18	84	2
8	12	83	2
8	12	92	1
8	9	76	1
8	8	73	1
8	9	80	1
8	12	71	1
8	9	78	1
8	9	73	1
8	12	81	1
8	9	76	1
8	12	91	1
8	10	83	1
8	11	80	1
8	10	73	1
8	11	98	1
8	19	90	2
8	12	92	2
8	9	87	1
8	6	62	1
8	7	71	1
8	8	72	2
8	11	75	2
8	8	68	1
8	9	65	2
8	8	60	1
8	12	79	2
8	10	87	2
8	9	72	2
8	9	84	1
8	9	76	1
8	11	70	1
8	18	117	1
8	14	112	1
8	10	81	1
8	10	74	1
8	13	89	1
8	12	103	1
8	12	97	1
8	9	72	1
8	11	101	1
8	11	101	2
8	12	102	1
8	22	119	1
8	17	117	1
8	15	95	1
8	11	111	1
8	15	111	1
8	11	131	1
8	11	85	1
8	11	90	1
8	10	89	1
8	11	83	1
8	8	80	1
8	10	72	1
8	8	71	1
8	12	97	1
8	13	96	1
8	10	108	1
8	11	87	1
8	13	93	1
8	12	101	1
8	11	88	1
8	11	83	1
8	10	76	1
8	12	98	1
8	11	97	1
8	13	89	1
8	13	92	2
8	13	105	1
8	13	118	1
8	12	85	2
8	8	67	2
8	6	71	1
8	9	70	1
8	12	69	2
8	9	63	2
8	8	67	1
8	7	63	1
8	9	68	1
8	9	77	1
8	10	83	1
8	7	67	1
8	11	98	1
8	9	85	1
8	14	149	1
8	8	77	1
8	9	81	1
8	11	86	1
8	10	83	1
8	8	65	1
8	9	77	1
8	10	72	2
8	11	101	1
8	14	104	1
8	11	94	1
8	9	72	2
8	10	79	1
8	24	90	2
8	25	93	2
8	9	73	2
8	8	68	1
8	12	97	1
8	9	65	1
8	9	64	1
8	8	65	2
8	9	67	1
8	12	109	2
8	14	108	1
8	13	133	1
8	24	146	1
8	15	124	1
8	12	121	1
8	16	137	1
8	11	117	1
8	11	104	1
8	13	113	1
8	11	107	1
8	12	124	1
8	11	101	1
8	12	105	1
8	14	120	1
8	13	117	1
8	24	118	1
8	14	118	1
8	13	97	1
8	11	90	1
8	10	66	1
8	11	96	1
8	11	90	1
8	11	96	1
8	12	101	1
8	12	87	1
8	12	98	2
8	13	102	1
8	10	89	1
8	12	83	1
8	12	88	1
8	21	92	2
8	10	76	1
8	16	108	1
8	10	76	1
8	10	89	1
8	10	82	1
8	10	84	1
8	10	84	1
8	19	109	1
8	15	111	1
8	11	79	1
8	9	79	1
8	12	107	1
8	10	64	1
8	8	73	1
8	8	66	1
8	15	92	2
8	10	75	1
8	10	78	1
8	11	139	1
8	13	86	2
8	10	84	1
8	10	86	1
8	10	84	1
8	11	92	1
8	9	76	1
8	12	92	1
8	10	80	1
8	15	86	2
8	12	102	1
8	11	100	1
8	12	106	1
8	9	68	1
8	11	99	1
8	15	134	1
8	9	67	1
8	11	79	2
8	10	76	1
8	15	106	1
8	13	105	2
8	11	70	2
8	9	76	1
8	20	96	2
8	8	61	2
8	9	70	2
8	21	122	1
8	8	64	1
8	8	73	1
8	13	70	2
8	10	77	2
8	7	54	1
8	9	67	2
8	9	85	1
8	8	67	1
8	9	75	1
8	10	71	2
8	9	61	2
8	12	84	1
8	14	86	2
8	9	62	2
8	10	78	1
8	8	56	1
8	14	77	2
8	27	120	1
8	7	53	1
8	12	73	2
8	10	71	2
8	12	80	2
8	10	90	1
8	13	93	2
8	9	67	1
8	10	69	2
8	16	79	2
8	9	67	1
8	11	101	1
8	8	67	1
8	10	78	1
8	11	79	1
8	7	62	1
8	9	66	2
8	9	71	1
8	10	77	1
8	10	92	1
8	8	64	2
8	8	73	1
8	10	72	1
8	10	74	1
8	12	70	2
8	11	78	1
8	8	66	1
8	7	61	2
8	10	65	2
8	9	91	1
8	9	69	2
8	8	66	2
8	9	67	2
8	9	61	2
8	9	79	1
8	11	99	1
8	9	69	1
8	8	73	1
8	8	65	2
8	8	62	2
8	9	66	2
8	11	79	2
8	8	71	1
8	11	97	1
8	8	75	1
8	12	117	1
8	9	70	1
8	12	92	1
8	11	103	1
8	14	102	1
8	12	101	1
8	9	73	1
8	12	97	1
8	11	88	1
9	22	87	2
9	10	70	2
9	11	74	2
9	11	77	2
9	12	88	1
9	27	116	2
9	12	88	1
9	33	126	2
9	11	80	1
9	22	85	2
9	12	80	1
9	33	111	2
9	15	86	2
9	9	71	2
9	9	71	1
9	12	87	2
9	10	68	2
9	8	75	1
9	7	58	2
9	9	71	2
9	11	92	1
9	11	74	2
9	15	76	2
9	27	129	1
9	9	66	2
9	19	89	2
9	9	69	2
9	10	75	1
9	10	79	2
9	16	123	1
9	8	67	1
9	21	93	2
9	22	129	1
9	14	99	1
9	13	97	1
9	13	93	1
9	9	75	1
9	12	93	1
9	11	70	1
9	15	106	1
9	15	100	1
9	23	123	2
9	34	104	1
9	13	84	1
9	26	96	2
9	14	95	1
9	31	113	2
9	12	97	1
9	15	99	1
9	11	91	1
9	10	74	2
9	10	77	1
9	17	124	1
9	11	82	1
9	8	65	2
9	10	83	1
9	10	70	1
9	8	62	2
9	12	82	1
9	23	92	2
9	8	69	1
9	26	101	2
9	21	95	2
9	17	93	2
9	17	101	1
9	21	117	1
9	22	92	2
9	17	120	1
9	25	116	1
9	20	99	1
9	14	92	1
9	24	123	2
9	14	88	2
9	15	110	1
9	16	112	1
9	16	105	1
9	18	103	1
9	12	90	1
9	16	100	1
9	15	101	1
9	12	82	2
9	11	75	2
9	9	63	2
9	11	74	1
9	10	77	2
9	34	112	2
9	20	101	1
9	15	109	1
9	10	83	1
9	14	98	1
9	14	102	1
9	10	88	1
9	23	92	2
9	13	116	1
9	12	89	1
9	14	109	1
9	16	97	1
9	13	99	1
9	12	93	2
9	33	119	2
9	16	106	1
9	11	80	1
9	23	95	2
9	22	105	1
9	11	99	1
9	19	99	2
9	30	116	2
9	13	93	1
9	32	112	2
9	18	115	1
9	15	107	1
9	10	69	2
9	11	89	1
9	18	79	2
9	22	97	2
9	21	90	2
9	15	105	1
9	16	102	1
9	11	90	1
9	11	86	1
9	22	93	2
9	24	99	2
9	26	103	2
9	12	90	1
9	29	170	1
9	9	86	1
9	24	94	2
9	14	106	1
9	10	85	1
9	9	73	1
9	8	65	2
9	8	67	1
9	6	57	1
9	11	85	1
9	11	79	1
9	22	93	2
9	33	115	2
9	11	84	1
9	10	83	1
9	8	65	2
9	14	99	1
9	15	106	1
9	15	104	1
9	21	125	1
9	23	108	1
9	8	73	1
9	11	87	1
9	11	91	1
9	12	82	1
9	15	109	1
9	12	86	2
9	16	103	1
9	12	94	1
9	12	81	1
9	12	84	1
9	23	105	2
9	12	96	1
9	26	115	1
9	13	82	2
9	9	73	1
9	10	70	2
9	9	71	1
9	12	66	2
9	9	71	2
9	19	89	2
9	9	69	1
9	10	70	1
9	8	73	1
9	14	88	1
9	25	96	2
9	25	98	2
9	17	84	2
9	20	94	2
9	25	96	2
9	16	78	2
9	13	90	1
9	14	80	2
9	14	105	1
9	11	92	1
9	15	103	1
9	21	81	2
9	17	160	1
9	15	112	1
9	16	114	1
9	27	103	2
9	13	96	1
9	22	110	2
9	10	77	1
9	16	105	1
9	14	107	1
9	26	103	2
9	12	88	1
9	12	86	1
9	13	94	2
9	22	90	2
9	11	88	2
9	23	98	1
9	12	99	1
9	15	110	1
9	15	98	2
9	20	118	2
9	11	85	1
9	10	91	1
9	10	83	1
9	18	91	2
9	12	84	1
9	22	91	2
9	12	82	1
9	12	95	1
9	11	81	2
9	10	86	2
9	11	78	2
9	10	82	1
9	15	104	1
9	11	81	1
9	11	89	1
9	15	93	1
9	14	108	1
9	14	106	1
9	14	83	1
9	16	92	1
9	16	110	1
9	11	87	1
9	11	87	1
9	28	136	1
9	11	80	1
9	7	65	1
9	23	104	2
9	19	90	2
9	24	91	2
9	24	111	1
9	19	99	1
9	11	71	2
9	8	57	2
9	12	92	1
9	17	105	1
9	11	76	2
9	23	96	2
9	11	105	1
9	16	101	1
9	13	89	1
9	12	95	1
9	24	109	1
9	32	135	2
9	22	120	1
9	12	102	1
9	8	73	1
9	12	95	1
9	21	111	1
9	9	69	1
9	14	96	2
9	11	77	1
9	10	78	2
9	12	88	1
9	17	86	2
9	24	111	1
9	15	88	1
9	12	82	1
9	11	81	1
9	15	95	1
9	19	85	2
9	8	64	2
9	18	103	2
9	19	109	1
9	12	85	1
9	9	80	1
9	11	81	1
9	28	97	2
9	10	100	1
9	11	82	2
9	15	98	1
9	11	84	1
9	15	107	1
9	12	100	1
9	10	100	1
9	9	67	1
9	18	112	1
9	24	122	1
9	12	88	1
9	16	117	1
9	17	87	2
9	24	92	2
9	15	110	1
9	17	107	1
9	15	124	1
9	9	69	1
9	9	74	1
9	30	102	2
9	10	87	1
9	22	112	1
9	13	83	1
9	10	72	2
9	15	81	2
9	7	64	2
9	21	105	1
9	21	94	2
9	26	100	2
9	21	96	2
9	26	92	2
9	13	89	1
9	16	88	2
9	11	78	2
9	18	96	1
9	34	132	2
9	14	94	1
9	25	102	2
9	17	97	2
9	16	75	2
9	11	84	1
9	18	95	2
9	11	79	1
9	20	87	2
9	11	82	2
9	11	72	2
9	11	77	1
9	10	76	2
9	9	73	1
9	12	91	1
9	22	86	2
9	21	84	2
9	11	82	2
9	12	83	1
9	11	86	1
9	23	106	2
9	17	90	2
9	7	96	1
9	14	118	1
9	17	85	2
9	8	102	1
9	25	109	2
9	29	99	2
9	26	101	2
9	9	72	1
9	10	76	1
9	11	70	2
9	23	89	2
9	11	84	2
9	10	89	1
9	24	106	1
9	10	77	1
9	11	79	1
9	21	99	1
9	11	72	2
9	8	61	1
9	12	85	2
9	15	103	1
9	14	75	2
9	8	73	1
9	13	90	1
9	33	126	2
9	23	123	1
9	14	69	2
9	22	112	1
9	10	66	2
9	15	107	1
9	7	67	1
9	10	77	1
9	18	94	2
9	9	76	1
9	12	87	2
9	12	88	1
9	33	106	2
9	10	68	1
9	9	66	1
9	9	72	1
9	11	82	2
9	7	61	2
9	8	59	2
9	11	76	1
9	23	101	1
9	12	75	1
9	9	73	1
9	11	72	2
9	35	141	1
9	10	85	1
9	15	98	1
9	12	78	2
9	11	81	1
9	11	83	1
9	9	73	1
9	16	86	1
9	23	99	2
9	22	118	1
9	16	74	2
9	12	89	2
9	40	137	1
9	15	97	1
9	14	111	1
9	10	77	1
9	12	99	1
9	17	99	1
9	29	149	1
9	9	85	1
9	17	80	2
9	28	104	2
9	18	78	2
9	10	76	1
9	11	82	1
9	9	80	2
9	24	94	2
9	20	81	2
9	8	67	2
9	10	73	2
9	25	102	2
9	10	79	2
9	11	78	2
9	30	114	2
9	9	78	2
9	9	71	1
9	8	67	2
9	14	73	2
9	10	96	1
9	19	86	2
9	8	73	1
9	11	81	2
9	16	95	1
9	9	75	1
9	8	65	1
9	6	58	2
9	8	70	1
9	11	78	1
9	19	119	1
9	19	108	1
9	12	85	1
9	8	55	2
9	12	116	1
9	14	85	2
9	10	77	2
9	11	88	2
9	9	91	1
9	10	73	1
9	7	59	2
9	12	114	1
9	11	84	1
9	11	76	1
9	11	88	1
9	11	95	1
9	10	77	1
9	16	82	2
9	8	66	2
9	16	111	1
9	16	106	1
9	14	96	1
9	12	97	1
9	26	130	1
9	12	89	1
9	24	114	1
9	29	173	1
9	15	98	1
9	11	88	1
9	20	119	1
9	10	78	1
9	9	66	2
9	29	139	1
9	27	137	1
9	13	84	1
9	22	105	2
9	11	69	2
9	8	69	1
9	9	64	1
9	8	69	1
9	9	72	1
9	30	116	2
9	11	74	2
9	20	114	1
9	8	62	1
9	11	78	2
9	7	66	2
9	11	82	1
9	29	151	1
9	12	95	1
9	10	75	2
9	15	137	1
9	14	97	1
9	23	90	2
9	17	102	1
9	25	120	1
9	24	118	1
9	12	88	1
9	11	91	1
9	15	110	1
9	22	125	1
9	13	96	1
9	12	91	1
9	16	118	1
9	9	77	1
9	7	72	1
9	12	87	1
9	9	74	2
9	24	87	2
9	12	73	2
9	12	96	1
9	13	101	1
9	27	158	1
9	13	118	1
9	12	79	1
9	19	137	1
9	14	81	2
9	25	120	1
9	10	84	1
9	16	122	1
9	9	57	2
9	9	69	1
9	24	106	2
9	26	107	2
9	11	79	1
9	19	104	1
9	23	93	2
9	9	68	1
9	18	95	2
9	15	81	1
9	9	72	1
9	22	97	2
9	9	67	1
9	13	103	1
9	12	80	2
9	10	65	2
9	14	96	1
9	12	83	1
9	9	63	2
9	8	63	1
9	12	76	1
9	6	60	2
9	15	101	1
9	11	87	2
9	8	65	1
9	13	83	1
9	9	64	1
9	11	75	1
9	20	103	1
9	9	61	2
9	21	88	2
9	24	96	2
9	15	110	1
9	13	80	1
9	26	97	2
9	10	72	2
9	19	103	1
9	30	108	2
9	13	76	1
9	11	81	1
9	23	87	2
9	20	93	2
9	20	104	1
9	20	103	1
9	12	75	1
9	25	145	1
9	16	100	1
9	20	88	2
9	8	69	1
9	17	121	1
9	36	109	2
9	11	73	1
9	7	59	2
9	9	66	1
9	8	74	1
9	16	72	2
9	7	59	1
9	8	65	2
9	9	72	1
9	8	62	2
9	6	58	2
9	13	121	2
9	11	77	2
9	16	96	1
9	31	111	2
9	15	85	2
9	15	96	2
9	23	90	2
9	22	86	2
9	10	70	2
9	8	70	2
9	9	78	1
9	14	91	2
9	21	89	2
9	18	95	1
9	20	100	2
9	10	81	1
9	9	60	2
9	22	89	2
9	13	99	1
9	22	96	2
9	9	70	1
9	16	94	2
9	15	94	1
9	26	108	1
9	24	87	2
9	10	80	1
9	9	72	2
9	17	90	2
9	10	76	2
9	22	88	2
9	13	101	1
9	15	91	1
9	9	77	2
9	23	93	2
9	18	92	2
9	14	94	2
9	10	81	2
9	19	80	2
9	27	101	2
9	7	65	2
9	9	70	1
9	25	134	1
9	17	94	2
9	21	94	2
9	12	75	2
9	23	128	1
9	19	86	2
9	15	103	1
9	8	68	1
9	19	89	2
9	23	86	2
9	16	111	1
9	11	71	2
9	12	69	2
9	26	130	1
9	12	100	1
9	17	87	2
9	23	94	2
9	24	98	2
9	7	58	2
9	16	130	1
9	12	80	1
9	15	106	1
9	10	72	2
9	11	96	1
9	16	86	2
9	26	138	1
9	13	107	1
9	10	81	2
9	10	75	2
9	13	107	1
9	7	63	2
9	14	85	1
9	19	118	1
9	10	74	1
9	9	65	1
9	9	66	2
9	8	67	2
9	11	89	1
9	13	91	2
9	20	92	2
9	11	72	2
9	12	75	2
9	13	82	2
9	8	71	1
9	14	79	2
9	11	79	2
9	7	72	2
9	11	79	1
9	14	96	1
9	11	73	2
9	11	80	1
9	19	98	1
9	22	87	2
9	9	73	1
9	12	77	2
9	8	68	2
9	32	107	2
9	22	118	1
9	10	77	1
9	26	101	2
9	17	102	1
9	11	70	2
9	16	105	2
9	18	130	1
9	31	110	2
9	15	102	1
9	15	95	1
9	21	116	1
9	23	101	2
9	18	85	2
9	11	79	1
9	9	70	1
9	24	120	1
9	26	107	2
9	24	114	1
9	9	68	1
9	8	56	2
9	26	102	2
9	24	99	2
9	16	120	1
9	10	70	2
9	7	65	2
9	11	73	2
9	29	96	2
9	24	90	2
9	8	70	1
9	13	89	1
9	16	86	2
9	10	87	1
9	31	108	2
9	24	121	1
9	11	86	1
9	28	113	1
9	9	62	2
9	24	93	2
9	21	94	2
9	15	92	1
9	21	101	1
9	11	81	1
9	17	112	1
9	13	81	2
9	24	100	2
9	9	66	2
9	11	75	2
9	10	82	1
9	24	114	1
9	11	104	1
9	8	67	1
9	24	95	2
9	9	69	1
9	8	65	2
9	8	71	1
9	16	79	2
9	8	69	2
9	20	105	1
9	12	93	1
9	9	72	1
9	10	78	2
9	31	129	2
9	18	91	2
9	26	135	1
9	14	125	1
9	11	87	1
9	10	75	1
9	16	103	1
9	18	88	2
9	18	96	2
9	10	91	1
9	20	104	1
9	13	80	2
9	26	103	2
9	17	90	2
9	23	122	1
9	23	115	1
9	9	72	1
9	13	113	2
9	10	86	1
9	20	112	1
9	10	90	1
9	12	93	2
9	9	64	1
9	12	71	1
9	9	73	1
9	11	79	1
9	7	63	1
9	18	99	1
9	12	80	2
9	15	87	1
9	26	97	2
9	29	106	2
9	8	64	1
9	13	82	1
9	26	99	2
9	12	121	1
9	11	90	1
9	7	53	2
9	27	107	2
9	14	99	1
9	8	66	1
9	15	98	1
9	12	78	2
9	9	70	2
9	23	92	2
9	12	82	2
9	15	93	1
9	13	75	2
9	20	92	1
9	15	104	1
9	23	116	1
9	10	69	2
9	11	80	2
9	26	128	1
9	10	84	1
9	9	79	1
9	12	85	2
9	11	73	2
9	10	77	1
9	15	81	2
9	13	77	1
9	10	81	1
9	10	68	1
9	12	78	2
9	18	83	2
9	36	182	1
9	10	78	2
